x;ln;log2;log5;log10
1.0E-6;-13.815510557829889;-19.931568569130615;-8.584059348357052;-5.999999999941721
1.0E-4;-9.210340371974493;-13.287712379547221;-5.72270623229265;-3.999999999999322
0.001;-6.90775527898207;-9.96578428466215;-4.292029674220233;-3.000000000000013
0.01;-4.605170185988049;-6.64385618977477;-2.8613531161468235;-2.0000000000000098
0.05;-2.995732273553955;-4.321928094887379;-1.861353116146805;-1.3010299956639837
0.1;-2.3025850929940126;-3.3219280948873675;-1.4306765580734044;-0.9999999999999997
0.2;-1.609437912434065;-2.321928094887348;-1.0000000000000002;-0.6989700043360132
0.24170525010063834;-1.4200362699502869;-2.0486792845397725;-0.8823181428618564;-0.6167139161418947
0.3333333333333333;-1.0986122886680803;-1.584962500721139;-0.6826061944859823;-0.47712125471965633
0.4165142415584832;-0.8758346245420804;-1.2635622694657267;-0.5441866491249078;-0.3803701444984372
0.5;-0.6931471805599343;-1.0;-0.4306765580733958;-0.30102999566398064
0.9;-0.10536051565782471;-0.1520030934450501;-0.06546416910142293;-0.045757490560675074
0.99;-0.010050335853501428;-0.014499569695115289;-0.006244624769837569;-0.00436480540245014
1.0;0.0;0.0;0.0;0.0
1.01;0.009950330853168073;0.014355292977070255;0.006182488169499809;0.00432137378264263
1.1;0.09531017980432442;0.13750352374993646;0.05921954433158607;0.04139268515822543
2.0;0.6931471805599343;1.0;0.4306765580733958;0.30102999566398064
3.0;1.0986122886680798;1.5849625007211383;0.6826061944859819;0.4771212547196561
5.0;1.6094379124340645;2.3219280948873475;1.0;0.698970004336013
10.0;2.3025850929940135;3.321928094887369;1.4306765580734049;1.0
100.0;4.605170185988049;6.64385618977477;2.8613531161468235;2.0000000000000098
112.99821225476838;4.727371997832899;6.820156137710983;2.937281370912511;2.053071572562808
125.0;4.828313737302287;6.965784284662178;3.000000000000058;2.0969100130080798
